concept,varname,value_txt,n_rows,target_value,confirmed,harmonized_name,priority,reviewer,comment
FRAILTY_GRIP,Week_Grip_Strength_Value,0,9636,N,YES,h_frailty_grip,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_GRIP,Week_Grip_Strength_Value,1,4063,Y,YES,h_frailty_grip,1,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_GRIP,Week_Grip_Strength,NO,3246,N,YES,h_frailty_grip,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
FRAILTY_GRIP,Week_Grip_Strength,YES,1455,Y,YES,h_frailty_grip,2,,"Both states observed in both encodings, so this is a mechanical conversion with nothing inferred. Numeric takes priority 1 because it covers roughly twice as many rows."
DEATH_FLAG_YN,Death_Date_Y_N,N,20800,N,YES,h_death_yn,1,,"Death_Date_Y_N and IsDead_Y_N agree on ALL 8,730 overlapping rows (N x N 7,983, Y x Y 747) with zero disagreements. `Death` is EXCLUDED from this concept: it never co-occurs with IsDead_Y_N (n_both = 0) so it cannot be verified against it, and it is Y-or-blank with no explicit N, so blank means something different there."
DEATH_FLAG_YN,Death_Date_Y_N,Y,2117,Y,YES,h_death_yn,1,,"Death_Date_Y_N and IsDead_Y_N agree on ALL 8,730 overlapping rows (N x N 7,983, Y x Y 747) with zero disagreements. `Death` is EXCLUDED from this concept: it never co-occurs with IsDead_Y_N (n_both = 0) so it cannot be verified against it, and it is Y-or-blank with no explicit N, so blank means something different there."
DEATH_FLAG_YN,IsDead_Y_N,N,7983,N,YES,h_death_yn,2,,"Death_Date_Y_N and IsDead_Y_N agree on ALL 8,730 overlapping rows (N x N 7,983, Y x Y 747) with zero disagreements. `Death` is EXCLUDED from this concept: it never co-occurs with IsDead_Y_N (n_both = 0) so it cannot be verified against it, and it is Y-or-blank with no explicit N, so blank means something different there."
DEATH_FLAG_YN,IsDead_Y_N,Y,747,Y,YES,h_death_yn,2,,"Death_Date_Y_N and IsDead_Y_N agree on ALL 8,730 overlapping rows (N x N 7,983, Y x Y 747) with zero disagreements. `Death` is EXCLUDED from this concept: it never co-occurs with IsDead_Y_N (n_both = 0) so it cannot be verified against it, and it is Y-or-blank with no explicit N, so blank means something different there."
SLEEP_APNEA,Sleep_Apnea_YN,Y,3812,Y,YES,h_sleep_apnea,1,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
SLEEP_APNEA,Sleep_Apnea,Y,1701,Y,YES,h_sleep_apnea,2,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
DIABETES,Diabetes_YN,Y,5983,Y,YES,h_diabetes,1,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
DIABETES,Diabetes,Y,1952,Y,YES,h_diabetes,2,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
HYPERLIPIDEMIA,Hyperlipidemia_YN,Y,11207,Y,YES,h_hyperlipidemia,1,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
HYPERLIPIDEMIA,Hyperlipidemia,Y,3945,Y,YES,h_hyperlipidemia,2,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
HYPERTENSION,Hypertension_YN,Y,12546,Y,YES,h_hypertension,1,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
HYPERTENSION,Hypertension,Y,5255,Y,YES,h_hypertension,2,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
MOVEMENT_DISORDER,MovementDisorder_YN,Y,1357,Y,YES,h_movement_disorder,1,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
MOVEMENT_DISORDER,MovementDisorder,Y,523,Y,YES,h_movement_disorder,2,Price,"PCM-D-13 RESOLVED 2026-08-28 (Price): keep missing as missing. Y maps to Y; blank is NOT converted to N. Both columns are Y-or-blank with no explicit N anywhere, and the dictionary says only 'Has ICD code for X' -- so a blank means no ICD code was found, which is not the same as the condition being absent. Mapping blank to N would assert something the data never says. The harmonized column is therefore Y-or-blank, and any analyst treating blank as absent does so knowingly in their own code."
SSDI_DEATH_FLAG,SSDI_DEATH,Y,,Y,YES,h_ssdi_death,3,Gerard,
SSDI_DEATH_FLAG,SSDI_DEATH_DATE_Y_N,N,,N,YES,h_ssdi_death,1,Gerard,
SSDI_DEATH_FLAG,SSDI_DEATH_DATE_Y_N,Y,,Y,YES,h_ssdi_death,1,Gerard,
SSDI_DEATH_FLAG,SSDI_DEATH_Y_N,N,,N,YES,h_ssdi_death,2,Gerard,
SSDI_DEATH_FLAG,SSDI_DEATH_Y_N,Y,,Y,YES,h_ssdi_death,2,Gerard,
